source_id,source_type,pmcid,doi,identifier_type,identifier,record_url,related_publication_doi,license,verification_sources,citation
SRC_0022,article,PMC7822152,10.3390/pharmaceutics13010009,DOI,10.3390/pharmaceutics13010009,https://doi.org/10.3390/pharmaceutics13010009,,CC BY 4.0,Institutional repository; source document,Development and Evaluation of Paclitaxel and Curcumin Dry Powder for Inhalation Lung Cancer Treatment. Wing-Hin Lee et al. (2020). Pharmaceutics.
SRC_0023,article,PMC7824383,10.3390/pharmaceutics13010026,DOI,10.3390/pharmaceutics13010026,https://doi.org/10.3390/pharmaceutics13010026,,CC BY 4.0,Institutional repository; source document,"Organic Solution Advanced Spray-Dried Microparticulate/Nanoparticulate Dry Powders of Lactomorphin for Respiratory Delivery: Physicochemical Characterization, In Vitro Aerosol Dispersion, and Cellular Studies. Wafaa Alabsi et al. (2020). Pharmaceutics."
SRC_0024,article,PMC7760073,10.3390/pharmaceutics12121154,DOI,10.3390/pharmaceutics12121154,https://doi.org/10.3390/pharmaceutics12121154,,CC BY 4.0,Institutional repository; source document,Development of High Dose Oseltamivir Phosphate Dry Powder for Inhalation Therapy in Viral Pneumonia. Shahir Aziz et al. (2020). Pharmaceutics.
SRC_0025,article,PMC7214557,10.1007/s40199-019-00317-9,DOI,10.1007/s40199-019-00317-9,https://doi.org/10.1007/s40199-019-00317-9,,CC BY 4.0,Institutional repository; source document,The effect of metal salts on aerosol performance of spray dried carrier-free formulations of levofloxacin. Ahmadreza Barazesh et al. (2020). DARU Journal of Pharmaceutical Sciences.
SRC_0026,article,PMC8043385,10.1371/journal.pone.0249683,DOI,10.1371/journal.pone.0249683,https://doi.org/10.1371/journal.pone.0249683,,CC BY 4.0,Institutional repository; source document,Puerarin dry powder inhaler formulations for pulmonary delivery: Development and characterization. Md Abdur Rashid et al. (2021). PLOS ONE.
SRC_0027,article,PMC8699692,10.1371/journal.pone.0261720,DOI,10.1371/journal.pone.0261720,https://doi.org/10.1371/journal.pone.0261720,,CC BY 4.0,Institutional repository; source document,Inhaled ciprofloxacin-loaded poly(2-ethyl-2-oxazoline) nanoparticles from dry powder inhaler formulation for the potential treatment of lower respiratory tract infections. Mohammad Zaidur Rahman Sabuj et al. (2021). PLOS ONE.
SRC_0028,article,,10.1016/j.ijpharm.2022.121758,DOI,10.1016/j.ijpharm.2022.121758,https://doi.org/10.1016/j.ijpharm.2022.121758,,CC BY 4.0,Institutional repository; source document,Leucine improves the aerosol performance of dry powder inhaler formulations of siRNA-loaded nanoparticles. You Xu et al. (2022). International Journal of Pharmaceutics.
SRC_0029,article,,10.3389/fddev.2022.945459,DOI,10.3389/fddev.2022.945459,https://doi.org/10.3389/fddev.2022.945459,,CC BY 4.0,Institutional repository; source document,Inhalable Composite Microparticles Containing siRNA-Loaded Lipid-Polymer Hybrid Nanoparticles: Saccharides and Leucine Preserve Aerosol Performance and Long-Term Physical Stability. You Xu et al. (2022). Frontiers in Drug Delivery.
SRC_0030,article,,10.3389/fddev.2022.973599,DOI,10.3389/fddev.2022.973599,https://doi.org/10.3389/fddev.2022.973599,,CC BY 4.0,Institutional repository; source document,Optimizing the design and dosing of dry powder inhaler formulations of the cationic liposome adjuvant CAF®01 for pulmonary immunization. Aneesh Thakur et al. (2022). Frontiers in Drug Delivery.
SRC_0031,article,PMC8955190,10.3390/ph15030321,DOI,10.3390/ph15030321,https://doi.org/10.3390/ph15030321,,CC BY 4.0,Institutional repository; source document,Novel Fluticasone Propionate and Salmeterol Fixed-Dose Combination Nano-Encapsulated Particles Using Polyamide Based on L-Lysine. Mohammad H. Alyami et al. (2022). Pharmaceuticals.
SRC_0032,article,PMC9610629,10.3390/ph15101223,DOI,10.3390/ph15101223,https://doi.org/10.3390/ph15101223,,CC BY 4.0,Institutional repository; source document,Stability of Inhaled Ciprofloxacin-Loaded Poly(2-ethyl-2-oxazoline) Nanoparticle Dry Powder Inhaler Formulation in High Stressed Conditions. Mohammad Zaidur Rahman Sabuj et al. (2022). Pharmaceuticals.
SRC_0033,article,PMC8876093,10.3390/pharmaceutics14020300,DOI,10.3390/pharmaceutics14020300,https://doi.org/10.3390/pharmaceutics14020300,,CC BY 4.0,Institutional repository; source document,Rational Development of a Carrier-Free Dry Powder Inhalation Formulation for Respiratory Viral Infections via Quality by Design: A Drug-Drug Cocrystal of Favipiravir and Theophylline. Si Nga Wong et al. (2022). Pharmaceutics.
SRC_0034,article,,10.1016/j.ijpharm.2023.122702,DOI,10.1016/j.ijpharm.2023.122702,https://doi.org/10.1016/j.ijpharm.2023.122702,,CC BY 4.0,Institutional repository; source document,Role of dispersion enhancer selection in the development of novel tratinterol hydrochloride dry powder inhalation formulations. Tingting Liu et al. (2023). International Journal of Pharmaceutics.
SRC_0035,article,,10.1016/j.ejpb.2023.06.018,DOI,10.1016/j.ejpb.2023.06.018,https://doi.org/10.1016/j.ejpb.2023.06.018,,CC BY 4.0,Institutional repository; source document,Spray dried progesterone formulations for carrier free dry powder inhalation. Thomas Hibbard et al. (2023). European Journal of Pharmaceutics and Biopharmaceutics.
SRC_0036,article,PMC10386112,10.3390/mi14071348,DOI,10.3390/mi14071348,https://doi.org/10.3390/mi14071348,,CC BY 4.0,Institutional repository; source document,Investigation of Physico-Chemical Stability and Aerodynamic Properties of Novel “Nano-in-Micro” Structured Dry Powder Inhaler System. Petra Party et al. (2023). Micromachines.
SRC_0037,article,PMC9966768,10.3390/pharmaceutics15020674,DOI,10.3390/pharmaceutics15020674,https://doi.org/10.3390/pharmaceutics15020674,,CC BY 4.0,Institutional repository; source document,Impact of Leucine and Magnesium Stearate on the Physicochemical Properties and Aerosolization Behavior of Wet Milled Inhalable Ibuprofen Microparticles for Developing Dry Powder Inhaler Formulation. Shahjabeen Sharif et al. (2023). Pharmaceutics.
SRC_0038,article,PMC10145907,10.3390/pharmaceutics15041238,DOI,10.3390/pharmaceutics15041238,https://doi.org/10.3390/pharmaceutics15041238,,CC BY 4.0,Institutional repository; source document,Pulmonary Application of Novel Antigen-Loaded Chitosan Nano-Particles Co-Administered with the Mucosal Adjuvant C-Di-AMP Resulted in Enhanced Immune Stimulation and Dose Sparing Capacity. Thomas Ebensen et al. (2023). Pharmaceutics.
SRC_0039,article,PMC9845529,10.1093/rb/rbac099,DOI,10.1093/rb/rbac099,https://doi.org/10.1093/rb/rbac099,,CC BY 4.0,Institutional repository; source document,Inhalable microparticles as drug delivery systems to the lungs in a dry powder formulations. Karolina Knap et al. (2023). Regenerative Biomaterials.
SRC_0040,article,,10.1016/j.jaerosci.2023.106290,DOI,10.1016/j.jaerosci.2023.106290,https://doi.org/10.1016/j.jaerosci.2023.106290,,CC BY 4.0,Institutional repository; source document,Preparing dry powder inhalation formulation of salbutamol sulfate using an ultrasonic atomizer device. Shadi Yaqoubi et al. (2024). Journal of Aerosol Science.
SRC_0041,article,,10.1016/j.ijpharm.2024.123841,DOI,10.1016/j.ijpharm.2024.123841,https://doi.org/10.1016/j.ijpharm.2024.123841,,CC BY 4.0,Institutional repository; source document,Inhaled dry powder liposomal azithromycin for treatment of chronic lower respiratory tract infection. Yahya H. Dallal Bashi et al. (2024). International Journal of Pharmaceutics.
SRC_0042,article,,10.1016/j.ejps.2024.106828,DOI,10.1016/j.ejps.2024.106828,https://doi.org/10.1016/j.ejps.2024.106828,,CC BY 4.0,Institutional repository; source document,Influence of particle diameter on aerosolization performance and release of budesonide loaded mesoporous silica particles. Irès van der Zwaan et al. (2024). European Journal of Pharmaceutical Sciences.
SRC_0043,article,PMC11268259,10.1080/10717544.2024.2381340,DOI,10.1080/10717544.2024.2381340,https://doi.org/10.1080/10717544.2024.2381340,,CC BY 4.0,Institutional repository; source document,Disordered mesoporous silica particles: an emerging platform to deliver proteins to the lungs. Aura Rocío Hernández et al. (2024). Drug Delivery.
SRC_0044,article,PMC10818896,10.3390/ph17010075,DOI,10.3390/ph17010075,https://doi.org/10.3390/ph17010075,,CC BY 4.0,Institutional repository; source document,"A Novel Combined Dry Powder Inhaler Comprising Nanosized Ketoprofen-Embedded Mannitol-Coated Microparticles for Pulmonary Inflammations: Development, In Vitro–In Silico Characterization, and Cell Line Evaluation. Heba Banat et al. (2024). Pharmaceuticals."
SRC_0045,article,PMC11206430,10.3390/ph17060754,DOI,10.3390/ph17060754,https://doi.org/10.3390/ph17060754,,CC BY 4.0,Institutional repository; source document,Design of Experiment (DoE) Approach for Developing Inhalable PLGA Microparticles Loaded with Clofazimine for Tuberculosis Treatment. Druva Sarika Rongala et al. (2024). Pharmaceuticals.
SRC_0046,article,PMC11357607,10.3390/pharmaceutics16080980,DOI,10.3390/pharmaceutics16080980,https://doi.org/10.3390/pharmaceutics16080980,,CC BY 4.0,Institutional repository; source document,Dry Powder Inhaler Formulation of Lactobacillus rhamnosus GG Targeting Pseudomonas aeruginosa Infection in Bronchiectasis Maintenance Therapy. The-Thien Tran et al. (2024). Pharmaceutics.
SRC_0047,article,PMC11728515,10.3390/pharmaceutics16121506,DOI,10.3390/pharmaceutics16121506,https://doi.org/10.3390/pharmaceutics16121506,,CC BY 4.0,Institutional repository; source document,Development and Characterization of Spray-Dried Combined Levofloxacin–Ambroxol Dry Powder Inhaler Formulation. Ruwani K. Suraweera et al. (2024). Pharmaceutics.
SRC_0048,preprint,,10.21203/rs.3.rs-3867336/v1,DOI,10.21203/rs.3.rs-3867336/v1,https://doi.org/10.21203/rs.3.rs-3867336/v1,,CC BY 4.0,Institutional repository; source document,Exploring the potential of three-layered self-assembled biomaterial-based dry powder inhaler for enhanced structural integrity and lung deposition of bioactive Lysozyme. Pradip Thakare et al. (2024).
SRC_0049,article,,10.1016/j.powtec.2025.120788,DOI,10.1016/j.powtec.2025.120788,https://doi.org/10.1016/j.powtec.2025.120788,,CC BY 4.0,Institutional repository; source document,"Spray freeze-drying for inhalable L-leucine, mannitol-based microparticles: The impact of process variables, L-leucine, and crystallinity on Aerosolization properties. Lorena Pasero et al. (2025). Powder Technology."
SRC_0050,article,,10.7324/JAPS.2025.206829,DOI,10.7324/JAPS.2025.206829,https://doi.org/10.7324/JAPS.2025.206829,,CC BY 4.0,Institutional repository; source document,Development and evaluation of remdesivir dry powder inhalation formulation by spray drying technique. Mukesh Pandurang Ratnaparkhi et al. (2024). Journal of Applied Pharmaceutical Science.
SRC_0051,article,,10.3390/app15031547,DOI,10.3390/app15031547,https://doi.org/10.3390/app15031547,,CC BY 4.0,Institutional repository; source document,"Evaluation of Permeability, Safety, and Stability of Nanosized Ketoprofen Co-Spray-Dried with Mannitol for Carrier-Free Pulmonary Systems. Heba Banat et al. (2025). Applied Sciences."
SRC_0052,article,PMC12072997,10.3390/ijms26094320,DOI,10.3390/ijms26094320,https://doi.org/10.3390/ijms26094320,,CC BY 4.0,Institutional repository; source document,Nano-Spray-Drying of Cyclodextrin/Ibuprofen Complexes with Aerosolization-Enhancing Additives for Pulmonary Drug Delivery. Anett Motzwickler-Németh et al. (2025). International Journal of Molecular Sciences.
SRC_0053,article,PMC12587441,10.1021/acs.molpharmaceut.5c00663,DOI,10.1021/acs.molpharmaceut.5c00663,https://doi.org/10.1021/acs.molpharmaceut.5c00663,,CC BY 4.0,Institutional repository; source document,Machine Learning-Guided Prediction of Formulation Performance in Inhalable Ciprofloxacin–Bile Acid Dispersions with Antimicrobial and Toxicity Evaluation. Tareq Zeyad Bahjat et al. (2025). Molecular Pharmaceutics.
SRC_0054,article,PMC12030175,10.3390/pharmaceutics17040466,DOI,10.3390/pharmaceutics17040466,https://doi.org/10.3390/pharmaceutics17040466,,CC BY 4.0,Institutional repository; source document,"Optimization, In Vitro, and In Silico Characterization of Theophylline Inhalable Powder Using Raffinose-Amino Acid Combination as Fine Co-Spray-Dried Carriers. Petra Party et al. (2025). Pharmaceutics."
SRC_0055,article,PMC12030394,10.3390/pharmaceutics17040486,DOI,10.3390/pharmaceutics17040486,https://doi.org/10.3390/pharmaceutics17040486,,CC BY 4.0,Institutional repository; source document,Nanoparticle-Based Dry Powder Inhaler Containing Ciprofloxacin for Enhanced Targeted Antibacterial Therapy. Petra Party et al. (2025). Pharmaceutics.
SRC_0056,article,PMC12114934,10.3390/pharmaceutics17050634,DOI,10.3390/pharmaceutics17050634,https://doi.org/10.3390/pharmaceutics17050634,,CC BY 4.0,Institutional repository; source document,Preparation of Carrier-Free Inhalable Dry Powder of Rivaroxaban Using Two-Step Milling for Lung-Targeted Delivery. Young-Jin Kim et al. (2025). Pharmaceutics.
SRC_0057,article,PMC12300973,10.3390/pharmaceutics17070909,DOI,10.3390/pharmaceutics17070909,https://doi.org/10.3390/pharmaceutics17070909,,CC BY 4.0,Institutional repository; source document,Three-Compartment Pharmacokinetics of Inhaled and Injected Sinapine Thiocyanate Manifest Prolonged Retention and Its Therapeutics in Acute Lung Injury. Zixin Li et al. (2025). Pharmaceutics.
SRC_0058,article,PMC12567144,10.3390/pharmaceutics17101339,DOI,10.3390/pharmaceutics17101339,https://doi.org/10.3390/pharmaceutics17101339,,CC BY 4.0,Institutional repository; source document,Development of Co-Amorphous Systems for Inhalation Therapy—Part 2: In Silico Guided Co-Amorphous Rifampicin–Moxifloxacin and –Ethambutol Formulations. Eleonore Fröhlich et al. (2025). Pharmaceutics.
SRC_0059,article,PMC6708488,10.1016/j.xphs.2019.05.011,DOI,10.1016/j.xphs.2019.05.011,https://doi.org/10.1016/j.xphs.2019.05.011,,CC BY 4.0,Institutional repository; source document,Simultaneous Particle Size Reduction and Homogeneous Mixing to Produce Combinational Powder Formulations for Inhalation by the Single-Step Co-Jet Milling. Junhong Ling et al. (2019). Journal of Pharmaceutical Sciences.
SRC_0060,article,PMC6280810,10.1007/s13346-017-0462-8,DOI,10.1007/s13346-017-0462-8,https://doi.org/10.1007/s13346-017-0462-8,,CC BY 4.0,Institutional repository; source document,Agglomerated novel spray-dried lactose-leucine tailored as a carrier to enhance the aerosolization performance of salbutamol sulfate from DPI formulations. Carlos Molina et al. (2018). Drug Delivery and Translational Research.
SRC_0061,article,PMC6836091,10.3390/pharmaceutics11100502,DOI,10.3390/pharmaceutics11100502,https://doi.org/10.3390/pharmaceutics11100502,,CC BY 4.0,Institutional repository; source document,"Inhalable Dry Powder of Bedaquiline for Pulmonary Tuberculosis: In Vitro Physicochemical Characterization, Antimicrobial Activity and Safety Studies. Mohammad A. M. Momin et al. (2019). Pharmaceutics."
SRC_0062,article,PMC8217042,10.1007/s11095-021-03061-5,DOI,10.1007/s11095-021-03061-5,https://doi.org/10.1007/s11095-021-03061-5,,CC BY 4.0,Institutional repository; source document,"Spray-Congealing and Wet-Sieving as Alternative Processes for Engineering of Inhalation Carrier Particles: Comparison of Surface Properties, Blending and In Vitro Performance. Joana T. Pinto et al. (2021). Pharmaceutical Research."
SRC_0063,article,PMC6321429,10.3390/pharmaceutics10040252,DOI,10.3390/pharmaceutics10040252,https://doi.org/10.3390/pharmaceutics10040252,,CC BY 4.0,Institutional repository; source document,Moisture-Resistant Co-Spray-Dried Netilmicin with l-Leucine as Dry Powder Inhalation for the Treatment of Respiratory Infections. Cui et al. (2018). Pharmaceutics.
SRC_0064,article,PMC9145523,10.3390/pharmaceutics14050895,DOI,10.3390/pharmaceutics14050895,https://doi.org/10.3390/pharmaceutics14050895,,CC BY 4.0,Institutional repository; source document,Dry Powder Formulation of Simvastatin Nanoparticles for Potential Application in Pulmonary Arterial Hypertension. Zendehdel Baher et al. (2022). Pharmaceutics.
SRC_0065,article,,10.31788/RJC.2022.1516652,DOI,10.31788/RJC.2022.1516652,https://doi.org/10.31788/RJC.2022.1516652,,CC BY 4.0,Institutional repository; source document,"In-vitro Physicochemical Properties and Antibacterial Activity of Ciprofloxacin-Carrageenan Inhalable Microspheres. Hariyadi et al. (2022). Rasayan Journal of Chemistry, 15(1), 132–142."
SRC_0066,article,PMC9357420,10.2147/IJN.S372582,DOI,10.2147/IJN.S372582,https://doi.org/10.2147/IJN.S372582,,CC BY-NC 3.0,Institutional repository; source document,Inhalable Nano-Dimpled Microspheres Containing Budesonide-PLGA for Improved Aerodynamic Performance. Chang-Soo Han et al. (2022). International Journal of Nanomedicine.
SRC_0067,article,PMC11994481,10.2147/IJN.S511099,DOI,10.2147/IJN.S511099,https://doi.org/10.2147/IJN.S511099,,CC BY-NC 4.0,Institutional repository; source document,Lung-Targeted Itraconazole Delivery Using PVA-Based Nano-in-Microparticles for Improved Treatment of Pulmonary Aspergillosis. Jin-Hyuk Jeong et al. (2025). International Journal of Nanomedicine.
SRC_0068,article,,10.33808/clinexphealthsci.1015166,DOI,10.33808/clinexphealthsci.1015166,https://doi.org/10.33808/clinexphealthsci.1015166,,CC BY-NC 4.0,Institutional repository; source document,Development of Triamcinolone Acetonide Loaded Poly(lactide-co-glycolic acid) Dry Powder Inhaler Formulations For The Treatment of Asthma. Aysu YURDASİPER (2022). Clinical and Experimental Health Sciences.
SRC_0069,article,,10.29228/jrp.136,DOI,10.29228/jrp.136,https://doi.org/10.29228/jrp.136,,CC BY-NC 4.0,Institutional repository; source document,Formulation and characterization of mometasone furoate and formoterol fumarate containing dry powder inhaler by spray drying and homogenization methods. Yagmur AKDAG et al. (2022). Journal of Research in Pharmacy.
SRC_0070,article,,10.1016/j.ejpb.2021.04.018,DOI,10.1016/j.ejpb.2021.04.018,https://doi.org/10.1016/j.ejpb.2021.04.018,,Closed access / no CC license,Institutional repository; source document,The combination of an innovative dry powder for inhalation and a standard cisplatin-based chemotherapy in view of therapeutic intensification against lung tumours. Selma Chraibi et al. (2021). European Journal of Pharmaceutics and Biopharmaceutics.
SRC_0071,article,PMC8752038,10.1208/s12249-021-02175-8,DOI,10.1208/s12249-021-02175-8,https://doi.org/10.1208/s12249-021-02175-8,,Closed access / no CC license,Institutional repository; source document,Comparison of HPMC Inhalation-Grade Capsules and Their Effect on Aerosol Performance Using Budesonide and Rifampicin DPI Formulations. Li Ding et al. (2022). AAPS PharmSciTech.
SRC_0072,article,,10.1016/j.xphs.2016.09.035,DOI,10.1016/j.xphs.2016.09.035,https://doi.org/10.1016/j.xphs.2016.09.035,,Closed access / no CC license,Institutional repository; source document,Evaluation of Granulated Lactose as a Carrier for Dry Powder Inhaler Formulations 2: Effect of Drugs and Drug Loading. Ping Du et al. (2017). Journal of Pharmaceutical Sciences.
SRC_0073,article,,10.1021/acs.cgd.8b01873,DOI,10.1021/acs.cgd.8b01873,https://doi.org/10.1021/acs.cgd.8b01873,,Closed access / no CC license,Crossref DOI record; source document,"Weng, J., Wong, S. N., Xu, X., Xuan, B., Wang, C., Chen, R., Sun, C. C., Lakerveld, R., Kwok, P. C. L., & Chow, S. F. Cocrystal engineering of itraconazole with suberic acid via rotary evaporation and spray drying. Crystal Growth & Design, 2019, 19(5), 2736–2745. https://doi.org/10.1021/acs.cgd.8b01873"
SRC_0074,article,,10.1080/10837450.2018.1545237,DOI,10.1080/10837450.2018.1545237,https://doi.org/10.1080/10837450.2018.1545237,,Closed access / no CC license,Institutional repository; source document,Optimization of a dry powder inhaler of ciprofloxacin-loaded polymeric nanomicelles by spray drying process. Mahdieh Farhangi et al. (2019). Pharmaceutical Development and Technology.
